"%s : %s","%s : %s"
"<em>Updated</em>","<em>Atualizado</em>"
"-- Empty Value --","-- Vazio --"
"# Order","# Pedido"
"Actions","Ações"
"Add Attribute Column","Adicionar Coluna de Atributo"
"Add Currency","Adicionar Moeda"
"Add Dimensions","Adicionar Dimensões"
"Add Exception","Adicionar Exceção"
"Add New Options Source","Adicionar Novas Fonte de Opções"
"Add Option","Adicionar Opção"
"Alignment","Alinhamento"
"All (%s)","Todos (%s)"
"Allow","Permitir"
"Allow Filtering On Time","Permitir Filtrar em Tempo"
"Apply","Aplicar"
"Apply Configuration","Aplicar Configuração"
"Apply PHP function nl2br()","Aplicar função PHP nl2br()"
"Apply Rates For Display","Aplicar Taxas para Mostrar"
"Are you sure?","Tem certeza?"
"As HTML","Como HTML"
"As Text","Como Texto"
"ascending","crescente"
"Attribute","Atributo"
"Attribute Code","Código do Atributo"
"Attributes Values Rendering","Attributes Values Rendering"
"Auto-generated","Auto-generated"
"Back","Back"
"Base Class","Base Class"
"Block ID","Block ID"
"Block Type","Block Type"
"Browser Resize Only","Browser Resize Only"
"Can't find any option to use for edited value","Can't find any option to use for edited value"
"Can't find editor JS object","Can't find editor JS object"
"Can't retrieve request object","Can't retrieve request object"
"Can't save value : editor JS object can't be found","Can't save value : editor JS object can't be found"
"Choose "Yes" if the field contains multiple values separated by a given string","Choose "Yes" if the field contains multiple values separated by a given string"
"Choose Editable Columns","Choose Editable Columns"
"CMS Pages","CMS Pages"
"Collection","Collection"
"Column","Column"
"column "%s"","column "%s""
"Column Attribute Code","Column Attribute Code"
"Column Position","Column Position"
"Column Header","Column Header"
"Column ID","Column ID"
"Column Type","Column Type"
"Column Types Descriptions","Column Types Descriptions"
"Columns Editor","Columns Editor"
"Columns Types Descriptions","Columns Types Descriptions"
"columns selected","columns selected"
"Common","Common"
"Complementary Exceptions","Complementary Exceptions"
"Complementary Exceptions Handling Mode","Complementary Exceptions Handling Mode"
"Configuration","Configuration"
"Controller Name","Controller Name"
"Currencies Per Attribute","Currencies Per Attribute"
"Custom Grid: %s","Custom Grid: %s"
"Custom Grids","Custom Grids"
"Custom Grids Configuration","Custom Grids Configuration"
"Custom List","Custom List"
"Customer","Customer"
"Customer Edit Tab","Customer Edit Tab"
"Customize Grid Columns","Customize Grid Columns"
"Date","Date"
"Date + Time","Date + Time"
"Date / Date + Time","Date / Date + Time"
"Default Options Source","Default Options Source"
"Default Values","Default Values"
"Delete","Delete"
"descending","descending"
"Disabled","Disabled"
"Disable","Disable"
"Display Complete Images URLs","Display Complete Images URLs"
"Display Currency","Display Currency"
"Display Format","Display Format"
"Display Full Path","Display Full Path"
"Display Images","Display Images"
"Displays a formatted date","Displays a formatted date"
"Displays a number","Displays a number"
"Displays a price","Displays a price"
"Displays a store view","Displays a store view"
"Displays a text","Displays a text"
"Displays a value from an options source","Displays a value from an options source"
"Displays an IP address","Displays an IP address"
"Displays formatted date + time","Displays formatted date + time"
